Number of Iterations,Reward,Lost Data
496,-74.09269795,77.07741935
497,-79.17568915,89.66026393
498,-71.34545455,70.35043988
499,-68.56533724,63.68240469
500,-69.16038123,65.27815249
501,-67.80744868,61.83900293
502,-73.03636364,74.85997067
503,-76.57900293,83.56260997
504,-68.1855132,63.26803519
505,-74.45014663,78.25513196
506,-76.39991202,83.29633431
507,-65.57741935,56.5388563
508,-72.62791789,73.51260997
509,-69.18733138,65.28870968
510,-68.92155425,64.54178886
511,-77.23741935,85.35527859
512,-76.95721408,84.50997067
513,-71.58395894,71.20146628
514,-67.24876833,60.68240469
515,-64.93718475,55.02258065
516,-75.37618768,80.65454545
517,-76.00052786,82.16041056
518,-77.57190616,85.9202346
519,-68.8642522,64.67346041
520,-73.33583578,75.90923754
521,-74.72475073,78.9159824
522,-77.87926686,86.77111437
523,-71.33841642,70.38416422
524,-65.03809384,54.92844575
525,-74.75093842,79.02360704
526,-77.69017595,86.36803519
527,-71.87721408,71.91994135
528,-73.58199413,76.30469208
529,-67.23363636,60.62991202
530,-65.37835777,56.01920821
531,-76.20516129,82.57302053
532,-64.8727566,54.73870968
533,-76.27747801,82.66950147
534,-78.11340176,86.97888563
535,-73.89222874,77.06744868
536,-71.76346041,71.69237537
537,-70.94859238,69.58372434
538,-68.86651026,64.24472141
539,-69.80970674,66.75483871
540,-70.90759531,69.75249267
541,-68.95970674,64.39706745
542,-70.50202346,68.36099707
543,-68.97994135,64.62360704
544,-66.42750733,58.21686217
545,-68.7116129,64.2973607
546,-75.12240469,79.85879765
547,-69.77527859,66.67609971
548,-71.87434018,71.85777126
549,-74.7811437,78.66656891
550,-76.98847507,84.25821114
551,-75.76284457,81.44340176
552,-63.76832845,51.80718475
553,-70.94029326,69.71876833
554,-70.84480938,69.53870968
555,-71.2741349,69.98519062
556,-69.45956012,65.8611437
557,-74.18580645,77.3670088
558,-73.52621701,75.72536657
559,-62.03170088,47.23651026
560,-67.4456305,60.85381232
561,-72.06475073,72.00938416
562,-68.21961877,62.51202346
563,-71.72809384,71.0101173
564,-74.51917889,78.29941349
565,-70.78260997,68.78387097
566,-72.9842522,74.22932551
567,-65.44102639,55.92478006
568,-64.41099707,53.18108504
569,-68.34803519,63.04017595
570,-75.48510264,80.26334311
571,-69.37651026,65.20630499
572,-68.60419355,63.3744868
573,-76.10651026,81.91950147
574,-71.01991202,69.39178886
575,-64.80806452,54.08577713
576,-69.16818182,64.83211144
577,-75.83651026,81.44794721
578,-71.0658651,69.66246334
579,-73.44844575,75.50527859
580,-74.65196481,78.06686217
581,-67.83002933,61.36026393
582,-78.41923754,87.80029326
583,-84.9543695,103.5222874
584,-69.60633431,65.84134897
585,-65.68516129,56.39765396
586,-69.89038123,66.63211144
587,-75.19627566,79.55777126
588,-70.60507331,68.13475073
589,-70.38894428,67.78870968
590,-73.09609971,74.50527859
591,-62.44178886,48.11876833
592,-75.21958944,79.5042522
593,-79.62369501,90.58049853
594,-85.64592375,105.251173
595,-83.76395894,100.9403226
596,-69.73486804,66.11686217
597,-67.85604106,61.41246334
598,-76.96313783,83.67434018
599,-74.49331378,77.57859238
600,-73.74313783,75.81495601
601,-74.79662757,78.55131965
602,-65.11243402,54.5186217
603,-74.56108504,77.78284457
604,-70.26302053,67.14032258
605,-70.3586217,67.2840176
606,-79.61501466,90.15923754
607,-75.09583578,78.87228739
608,-72.76337243,73.25190616
609,-65.48111437,55.32668622
610,-70.84645161,68.41378299
611,-76.9902346,83.51847507
612,-71.60466276,70.26715543
613,-70.1941349,67.00659824
614,-70.58111437,67.79076246
615,-72.9957478,73.51026393
616,-78.79888563,87.71568915
617,-72.68583578,72.69882698
618,-71.92184751,71.26173021
619,-70.35102639,66.94428152
620,-67.6643695,60.50073314
621,-64.12190616,51.68856305
622,-69.42090909,64.98739003
623,-77.11208211,83.70395894
624,-76.35844575,81.79604106
625,-69.62609971,65.08797654
626,-70.19079179,66.84794721
627,-66.78501466,58.18504399
628,-67.68929619,60.28079179
629,-75.8288563,80.74882698
630,-74.71912023,77.79120235
631,-70.92173021,68.28856305
632,-73.93973607,75.99486804
633,-71.1601173,68.75806452
634,-71.13692082,68.60659824
635,-66.42868035,57.04677419
636,-79.32302053,89.00219941
637,-74.12674487,76.02067449
638,-64.14741935,51.56539589
639,-74.56818182,77.31304985
640,-80.18170088,90.97478006
641,-67.42780059,59.55923754
642,-71.78739003,70.42155425
643,-73.53835777,74.66334311
644,-72.23818182,71.51920821
645,-71.75695015,70.13651026
646,-71.21131965,68.96304985
647,-70.78527859,67.92727273
648,-73.49190616,74.33826979
649,-71.25530792,68.90439883
650,-71.92686217,70.71524927
651,-69.8229912,65.33460411
652,-65.99035191,56.14340176
653,-68.61228739,62.52595308
654,-72.06480938,70.90615836
655,-70.93498534,68.31803519
656,-70.13354839,65.9973607
657,-75.49005865,79.14853372
