,Lost Data,Number of Iterations,Reward
239,103.8540527,240,-78.10363281
240,104.4310547,241,-78.52486328
241,105.1373047,242,-78.68480469
242,107.0253418,243,-79.56990234
243,111.6109863,244,-81.31456055
244,114.7867188,245,-82.63172852
245,106.7176758,246,-79.28057617
246,111.137793,247,-81.02616211
247,112.5349609,248,-81.64044922
248,107.6427734,249,-79.80710938
249,105.0712891,250,-78.97358398
250,109.34375,251,-80.72529297
251,106.0032715,252,-79.37640625
252,108.91875,253,-80.51305664
253,106.4561035,254,-79.52067383
254,107.6497559,255,-80.01424805
255,116.9267578,256,-83.8402832
256,105.7991699,257,-79.23641602
257,102.4519043,258,-77.94853516
258,113.4116211,259,-82.36196289
259,115.6179687,260,-83.45421875
260,103.9097168,261,-78.63224609
261,109.4534668,262,-80.91444336
262,113.2645996,263,-82.47478516
263,111.7443848,264,-81.98706055
264,106.4087891,265,-79.85306641
265,109.2982422,266,-81.09942383
266,109.3433594,267,-81.22586914
267,105.685498,268,-79.72585938
268,110.15,269,-81.62445313
269,99.1078125,270,-77.1040625
270,104.3804687,271,-79.24876953
271,101.4399902,272,-78.1721875
272,113.429541,273,-83.03929688
273,99.2984375,274,-77.41322266
274,99.45664063,275,-77.47601563
275,100.6375488,276,-78.07777344
276,104.1757813,277,-79.70913086
277,108.5965332,278,-81.44349609
278,102.2986328,279,-79.0515332
279,102.8811035,280,-79.29672852
280,102.0325195,281,-78.8615918
281,99.46782227,282,-78.0124707
282,102.6459961,283,-79.15849609
283,100.4715332,284,-78.48670898
284,110.7775879,285,-82.71337891
285,96.57353516,286,-77.15260742
286,108.1289063,287,-81.86142578
287,100.5173828,288,-78.92667969
288,98.3831543,289,-78.06957031
289,96.896875,290,-77.47286133
290,104.554834,291,-80.62320313
291,96.45585937,292,-77.40241211
292,95.97172852,293,-77.15871094
293,100.814502,294,-79.11242188
294,100.6859863,295,-79.23630859
295,101.4243652,296,-79.52091797
296,98.60327148,297,-78.37026367
297,96.17045898,298,-77.36540039
298,103.1348633,299,-80.32450195
299,95.24116211,300,-77.25808594
300,95.27246094,301,-77.32651367
301,96.23173828,302,-77.70875977
302,97.35161133,303,-78.33273438
303,89.22539063,304,-75.32077148
304,92.76845703,305,-76.65401367
305,94.12382813,306,-77.38830078
306,98.99438477,307,-79.30600586
307,91.11948242,308,-76.15555664
308,85.43325195,309,-73.89424805
309,96.86010742,310,-78.68081055
310,85.97954102,311,-74.47995117
311,87.55498047,312,-75.08791016
312,99.41030273,313,-79.59126953
313,93.89960938,314,-77.31936523
314,85.99833984,315,-74.39225586
315,90.94555664,316,-76.39702148
316,95.91069336,317,-78.31129883
317,86.78774414,318,-74.5825293
318,91.64833984,319,-76.60953125
319,88.02041016,320,-75.10049805
320,84.31279297,321,-73.68996094
321,88.51572266,322,-75.22000977
322,90.47924805,323,-76.10258789
323,84.74370117,324,-73.8694043
324,87.18647461,325,-74.90706055
325,92.22973633,326,-76.95219727
326,94.89775391,327,-78.13195313
327,89.17993164,328,-75.7503418
328,77.88027344,329,-71.47095703
329,81.23144531,330,-72.83291016
330,82.42543945,331,-73.29097656
331,95.93725586,332,-78.57509766
332,85.45927734,333,-74.57848633
333,84.60161133,334,-74.03327148
334,89.47456055,335,-75.93826172
335,84.88081055,336,-74.11370117
336,77.46367188,337,-71.2772168
337,90.14746094,338,-76.18544922
338,83.13486328,339,-73.50199219
339,83.16293945,340,-73.51493164
340,92.87387695,341,-77.49110352
341,84.44243164,342,-74.12780273
342,92.56137695,343,-77.52430664
343,83.92216797,344,-73.87111328
344,85.378125,345,-74.5640918
345,82.45073242,346,-73.37311523
346,80.11264648,347,-72.48792969
347,88.69550781,348,-75.91350586
348,88.30429688,349,-75.95892578
349,78.86088867,350,-72.29166992
350,85.40146484,351,-75.05511719
351,86.85864258,352,-75.66240234
352,81.82280273,353,-73.8475293
