Number of Iterations,Reward,Lost Data
383.0,-76.65535156,95.08808594
384.0,-72.39464844,84.37529297
385.0,-76.80314453,94.96806641
386.0,-73.80527344,87.58935547
387.0,-78.97791016,100.5001953
388.0,-71.32333984,81.45410156
389.0,-73.80058594,87.04052734
390.0,-74.32943359,88.70322266
391.0,-74.37714844,88.84082031
392.0,-66.74650391,69.64824219
393.0,-71.85298828,82.64394531
394.0,-72.19880859,83.53535156
395.0,-75.20871094,91.03935547
396.0,-74.66361328,89.00400391
397.0,-72.21785156,83.18134766
398.0,-73.64777344,86.39238281
399.0,-75.92818359,92.26796875
400.0,-76.19541016,93.0703125
401.0,-77.93132813,97.07197266
402.0,-72.23013672,82.78603516
403.0,-73.07544922,84.9359375
404.0,-70.41693359,78.67783203
405.0,-72.17873047,82.81376953
406.0,-69.91810547,77.04501953
407.0,-72.29259766,83.31572266
408.0,-74.38710938,88.06982422
409.0,-73.91279297,86.95361328
410.0,-72.43318359,83.49628906
411.0,-75.23464844,90.38886719
412.0,-70.91917969,79.52695313
413.0,-72.58107422,83.31669922
414.0,-77.37460938,95.74365234
415.0,-81.42269531,105.4878906
416.0,-72.28240234,82.89716797
417.0,-74.87363281,89.27392578
418.0,-80.71707031,104.2194336
419.0,-71.94845703,82.24052734
420.0,-73.46115234,85.69267578
421.0,-67.38789063,70.3203125
422.0,-71.49564453,80.58115234
423.0,-68.93251953,74.40771484
424.0,-72.80298828,84.14736328
425.0,-74.38414063,88.56044922
426.0,-71.62701172,81.20253906
427.0,-73.06015625,84.87939453
428.0,-82.46072266,107.9791992
429.0,-77.51121094,95.753125
430.0,-73.44914063,85.58574219
431.0,-70.52576172,78.49580078
432.0,-77.23736328,94.87685547
433.0,-79.63039063,100.3943359
434.0,-65.63849609,65.64775391
435.0,-77.65609375,95.21445313
436.0,-75.94558594,90.90400391
437.0,-69.37496094,74.18935547
438.0,-76.84246094,93.20966797
439.0,-73.63742188,85.66826172
440.0,-68.23125,71.32519531
441.0,-80.31771484,101.403418
442.0,-73.35724609,83.98027344
443.0,-69.24517578,73.47792969
444.0,-68.74863281,72.39892578
445.0,-70.19427734,75.82871094
446.0,-68.13853516,70.82363281
447.0,-73.47935547,83.70693359
448.0,-77.96232422,95.42705078
449.0,-70.03867188,75.99267578
450.0,-72.92722656,82.6671875
451.0,-76.33287109,90.85537109
452.0,-74.39085938,86.14072266
453.0,-73.35572266,83.803125
454.0,-74.13849609,85.74052734
455.0,-75.05644531,87.98535156
456.0,-76.89835938,92.87089844
457.0,-72.24541016,81.15673828
458.0,-72.84207031,82.63251953
459.0,-74.37046875,86.11660156
460.0,-70.65925781,77.16816406
461.0,-71.09566406,77.82705078
462.0,-72.81359375,82.33183594
463.0,-68.74955078,72.98105469
464.0,-68.69064453,73.04130859
465.0,-68.91601563,73.046875
466.0,-74.57029297,86.94208984
467.0,-69.3509375,74.39296875
468.0,-76.51777344,91.05517578
469.0,-72.32660156,81.52451172
470.0,-75.57693359,89.33417969
471.0,-69.77554688,75.03457031
472.0,-70.71712891,77.0796875
473.0,-71.22746094,78.25908203
474.0,-74.16816406,85.55957031
475.0,-76.28935547,90.5
476.0,-69.41072266,73.76728516
477.0,-68.39185547,70.81240234
478.0,-67.21027344,67.77666016
479.0,-70.61896484,76.12382812
480.0,-72.65164063,81.40205078
481.0,-70.25099609,75.41875
482.0,-72.49302734,81.29970703
483.0,-67.66265625,69.03945313
484.0,-74.36349609,85.40703125
485.0,-72.00318359,79.89931641
486.0,-70.43111328,76.13759766
487.0,-70.81957031,76.98056641
488.0,-72.74083984,81.47978516
489.0,-70.02246094,74.68017578
490.0,-66.31615234,65.11533203
491.0,-78.34494141,95.40947266
492.0,-72.16556641,79.85117188
493.0,-71.60097656,78.27246094
494.0,-74.20980469,84.58701172
495.0,-73.67486328,83.11904297
496.0,-74.493125,84.9828125
497.0,-67.08414063,66.41640625
498.0,-71.15816406,76.45986328
499.0,-73.37271484,81.95839844
500.0,-71.17574219,76.29140625
501.0,-76.73193359,90.07080078
502.0,-75.49839844,86.91738281
503.0,-69.85289063,72.74990234
504.0,-75.84943359,87.47880859
505.0,-67.77507813,67.33808594
506.0,-71.06582031,75.69921875
507.0,-72.49326172,78.93945313
508.0,-73.93599609,82.25087891
509.0,-71.55304688,76.64628906
510.0,-70.48896484,73.75537109
